time	V(n004)
2.358400033617062e-02	3.314796e+00
2.359978482132736e-02	3.299357e+00
2.362945423105667e-02	3.268381e+00
2.368868954506290e-02	3.200429e+00
2.380716017307535e-02	3.052693e+00
2.394756001043286e-02	2.873341e+00
2.405386432891696e-02	2.745967e+00
2.414326761060536e-02	2.655361e+00
2.423637245264941e-02	2.580084e+00
2.427497363566829e-02	2.556282e+00
2.430506415605831e-02	2.542676e+00
2.433872631264012e-02	2.531154e+00
2.437835665093056e-02	2.523220e+00
2.440807673599568e-02	2.521708e+00
2.444417693700048e-02	2.524235e+00
2.448603157023923e-02	2.533364e+00
2.453452583402374e-02	2.551507e+00
2.457485561239942e-02	2.572811e+00
2.461339656613871e-02	2.598254e+00
2.463577813238207e-02	2.615240e+00
2.465147414366533e-02	2.628321e+00
2.466663460418416e-02	2.641673e+00
2.467393145758592e-02	2.648350e+00
2.468093415515958e-02	2.654932e+00
2.468471262218727e-02	2.658541e+00
